scheme,operation,input_size,cache_policy,mean_ms,ci95_halfwidth_ms,median_batch_ms,within_and_between_batch_sd_ms,process_means_ms,process_sd_ms,samples,processes
lrdas,random_matched_decode,115158,accepted_values,2653.804519,25.19807042924461,2647.796054,20.29379161003059,"{'0': 2636.445821, '1': 2642.00566, '2': 2654.768441, '3': 2647.796054, '4': 2688.006619}",20.29379161003059,5,5
lrdas,random_matched_decode_authenticate,115158,accepted_values,3527.53667,28.81855114504894,3519.91458,23.20962127170957,"{'0': 3500.770935, '1': 3513.385953, '2': 3519.91458, '3': 3550.804085, '4': 3552.807797}",23.20962127170957,5,5
lrdas,rectangle_decode,115158,accepted_values,6396.9381174,58.50407620486107,6409.953583,47.11747806930754,"{'0': 6336.964877, '1': 6437.373772, '2': 6358.619592, '3': 6409.953583, '4': 6441.778763}",47.11747806930754,5,5
lrdas,rectangle_decode_authenticate,115158,accepted_values,7231.7706316,32.96035768727779,7224.128885,26.54531156168918,"{'0': 7198.137478, '1': 7224.128885, '2': 7219.795828, '3': 7252.570213, '4': 7264.220754}",26.54531156168918,5,5
lrdas,rectangle_minus_one_decode,115159,accepted_values,2651.3709306,18.327636514439597,2653.313012,14.760544350918163,"{'0': 2635.638875, '1': 2653.313012, '2': 2668.638378, '3': 2662.202283, '4': 2637.062105}",14.760544350918163,5,5
lrdas,rectangle_minus_one_decode_authenticate,115159,accepted_values,3515.4811818,22.894658255773262,3511.592329,18.43869057077865,"{'0': 3498.962479, '1': 3505.114452, '2': 3515.200633, '3': 3546.536016, '4': 3511.592329}",18.43869057077865,5,5
product,random_matched_decode,115158,accepted_values,2649.4659476,21.71238686348014,2644.898253,17.486523644780558,"{'0': 2644.898253, '1': 2647.270168, '2': 2634.469366, '3': 2679.526451, '4': 2641.1655}",17.486523644780558,5,5
product,random_matched_decode_authenticate,115158,accepted_values,3514.4945914,17.671092156933085,3506.933859,14.231782658176993,"{'0': 3506.539788, '1': 3537.482841, '2': 3502.592739, '3': 3506.933859, '4': 3518.92373}",14.231782658176993,5,5
product,rectangle_minus_one_decode,115159,accepted_values,2653.7911652,16.998283199001154,2650.125219,13.689921930230701,"{'0': 2637.359839, '1': 2662.502666, '2': 2646.726307, '3': 2650.125219, '4': 2672.241795}",13.689921930230701,5,5
product,rectangle_minus_one_decode_authenticate,115159,accepted_values,3522.8198944,11.414685334027535,3522.862013,9.193054925109658,"{'0': 3522.862013, '1': 3512.269814, '2': 3517.612338, '3': 3536.847567, '4': 3524.50774}",9.193054925109658,5,5
